PIN,SBL,OBJECTID,Shape__Area,Shape__Length
100.00-1-9,10000000010090000000,85,151052.3125,1684.73410407056
100.00-2-1,10000000020010000000,86,2105038.109375,7574.51781919599
100.00-2-10,10000000020100000000,87,222952.16796875,1905.19365596842
100.00-2-11,10000000020110000000,88,359411.9375,2945.95878806373
100.00-2-12.1,10000000020120100000,89,392347.2578125,3211.52063284752
100.00-2-12.2,10000000020120200000,90,20955.875,580.354664180059
100.00-2-13.11,10000000020130110000,91,42990.64453125,1203.58665164428
100.00-2-13.121,10000000020131210000,92,113705.67578125,2269.69543981083
100.00-2-13.122,10000000020131220000,93,159706.86328125,1792.10071596636
100.00-2-14,10000000020140000000,94,10258.890625,432.880357306658
100.00-2-15,10000000020150000000,95,7521.4375,373.320517154037
100.00-2-16,10000000020160000000,96,19525.3203125,629.660449673543
100.00-2-17.11,10000000020170110000,97,983818.44140625,8173.65650162507
100.00-2-17.12,10000000020170120000,98,104880.10546875,1491.4423307923
100.00-2-17.2,10000000020170020000,99,22615.6875,653.741712568779
100.00-2-18.1,10000000020180100000,100,1204169.6953125,8548.38654995054
100.00-2-18.2,10000000020180200000,101,6637.921875,322.809656125293
100.00-2-19.1,10000000020190100000,102,174315.046875,2071.67804507192
100.00-2-19.2,10000000020190200000,103,14129.78515625,671.350301817565
100.00-2-2,10000000020020000000,104,171224.015625,1655.3039939759
100.00-2-20.11,10000000020200110000,105,181128.90625,2031.24672270765
100.00-2-20.12,10000000020200120000,106,9960.17578125,420.899683394574
100.00-2-20.13,10000000020200130000,107,3111.875,272.105898103031
100.00-2-20.2,10000000020200020000,108,20552.03125,581.251978343501
100.00-2-3,10000000020030000000,109,810463.3359375,4734.96601271699
100.00-2-4,10000000020040000000,110,3473.8046875,240.08539268359
100.00-2-5.1,10000000020050100000,111,37655.25390625,839.330906251588
100.00-2-5.2,10000000020050200000,112,174805.48828125,1897.88654757041
100.00-2-6.11,10000000020060110000,113,375459.31640625,2744.68935938587
100.00-2-6.12,10000000020060120000,114,256365.890625,2005.90082831368
100.00-2-6.2,10000000020060200000,115,65644.40625,1139.8207120152
100.00-2-7,10000000020070000000,116,230821.10546875,2258.86200377305
100.00-2-9,10000000020090000000,117,384932.80859375,4096.07228512296
101.00-1-1.1,10100000010010100000,118,1498396.9453125,5941.36997642727
101.00-1-1.2,10100000010010200000,119,10008.92578125,388.813375784268
101.00-1-1.3,10100000010010300000,120,125904.77734375,2332.07434141474
101.00-1-11.1,10100000010110010000,121,192119.51953125,1766.14677391156
101.00-1-11.2,10100000010110020000,122,62922.953125,1192.44848227862
101.00-1-11.3,10100000010110030000,123,64182.6875,1162.10593231891
101.00-1-13,10100000010130000000,124,106806.46484375,1329.31945582353
101.00-1-15,10100000010150000000,125,34528.734375,887.674543895134
101.00-1-17.1,10100000010170010000,126,337942.1015625,2396.64629455655
101.00-1-17.2,10100000010170020000,127,13284.0859375,469.548354851134
101.00-1-19.1,10100000010190010000,128,15924.42578125,548.567735021458
101.00-1-19.2,10100000010190020000,129,12071.05859375,475.597142230482
101.00-1-2,10100000010020000000,130,469407.6640625,3018.79458713186
101.00-1-20,10100000010200000000,131,935030.390625,6650.72969412467
101.00-1-21.111,10100000010211110000,132,364860.09765625,3734.38473031369
101.00-1-21.112,10100000010211120000,133,13579.71484375,472.827570238554
101.00-1-21.12,10100000010210120000,134,31533.453125,760.076863932705
101.00-1-21.211,10100000010212110000,135,229028.1171875,2537.55289782234
101.00-1-21.22,10100000010210220000,136,10254.8828125,415.689137015977
101.00-1-21.23,10100000010210230000,137,17097.2578125,615.84275733675
101.00-1-22.11,10100000010220110000,138,630642.45703125,3691.70976887015
101.00-1-22.12,10100000010220120000,139,113321.22265625,1496.92423522467
101.00-1-22.13,10100000010220130000,140,11275.94140625,465.68973090466
101.00-1-22.14,10100000010220140000,141,13697.75,492.037224610245
101.00-1-22.15,10100000010220150000,142,80821.546875,1280.42548992202
101.00-1-22.2,10100000010220200000,143,17723.7109375,554.311562585326
101.00-1-23,10100000010230000000,144,373373.5,2450.36062626384
101.00-1-24.1,10100000010240100000,145,190629.85546875,1806.41960705715
101.00-1-24.2,10100000010240200000,146,191196.5546875,1807.58051943999
101.00-1-25,10100000010250000000,147,382048.64453125,2482.28587846379
101.00-1-5.1,10100000010050100000,148,242144.58203125,2087.86350759842
101.00-1-5.2,10100000010050200000,149,42402.9140625,815.2354993592
101.00-1-6,10100000010060000000,150,378609.484375,4552.56980089743
101.00-1-7,10100000010070000000,151,73513.41015625,1213.12790295317
101.00-1-8,10100000010080000000,152,365209.19140625,3161.68319417428
101.00-2-1,10100000020010000000,153,1227667.64453125,5286.79651310074
101.00-2-10,10100000020100000000,154,265338.33203125,2303.11076181713
101.00-2-11,10100000020110000000,155,364494.62890625,2436.26126714383
101.00-2-12,10100000020120000000,156,5512.19140625,337.096101302988
101.00-2-13,10100000020130000000,157,109443.97265625,1363.81751596058
101.00-2-14.1,10100000020140100000,158,38137.15234375,823.981196734523
101.00-2-14.2,10100000020140200000,159,38112.9453125,824.103571585956
101.00-2-15,10100000020150000000,160,261374.2578125,3024.44614072956
101.00-2-16.11,10100000020160110000,161,27813.5625,745.994000885846
101.00-2-16.12,10100000020160120000,162,335383.7890625,2449.20987380999
101.00-2-16.2,10100000020160200000,163,6764.03125,328.976075517257
101.00-2-17,10100000020170000000,164,238059.84375,2290.86425306124
101.00-2-18,10100000020180000000,165,51826.41015625,971.872294356373
101.00-2-19,10100000020190000000,166,25862.40234375,683.051490575477
101.00-2-2,10100000020020000000,167,26702.6171875,663.366133454476
101.00-2-20,10100000020200000000,168,29658.19921875,796.686794642129
101.00-2-23.1,10100000020230100000,169,159471.37109375,1554.26252801537
101.00-2-24,10100000020240000000,170,25426.90625,693.583421880597
101.00-2-25,10100000020250000000,171,186629.87890625,1763.21941951169
101.00-2-26,10100000020260000000,172,89239.59375,1371.34813398509
101.00-2-27,10100000020270000000,173,383365.81640625,2683.37682499795
101.00-2-28.11,10100000020280110000,174,901407.67578125,4772.59195426876
101.00-2-28.12,10100000020280120000,175,359619.578125,2441.79686678542
101.00-2-28.2,10100000020280200000,176,135307.6796875,1613.2149317298
101.00-2-29,10100000020290000000,177,6277.9765625,318.294225470117
101.00-2-3,10100000020030000000,178,725225.4140625,3584.32109696485
101.00-2-30,10100000020300000000,179,934107.33203125,4363.24615725474
101.00-2-31,10100000020310000000,180,745272.78515625,3585.55745492301
101.00-2-32,10100000020320000000,181,225637.44140625,2221.39937324363
101.00-2-33,10100000020330000000,182,325538.03125,2442.84050384444
101.00-2-4,10100000020040000000,183,66730.23046875,1350.20514576556
101.00-2-5,10100000020050000000,184,16081.6875,552.632295929731
101.00-2-6,10100000020060000000,185,660050.9921875,3682.78611506948
101.00-2-7.1,10100000020070100000,186,738711.53125,3572.36250831196
